ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
201812;08020621;08;02;06;21;2;191;95;96;0;0;0;3;0;7;0;0;0;0;0;0;0;13;6;6;18;18;6;24;15;18;12;6;3;6;12;6;6;3;3;0;0;3;7;0;13;93;36;27;12
201812;08020622;08;02;06;22;2;1919;973;946;11;9;3;31;15;7;12;20;13;10;12;21;49;105;80;141;283;182;184;166;131;128;51;35;25;45;83;33;16;15;3;0;11;58;74;21;154;1167;214;186;34
201812;08020623;08;02;06;23;2;173;75;98;0;3;3;6;0;0;0;0;3;0;0;3;4;12;3;12;27;6;18;25;12;15;3;0;3;3;6;3;3;0;0;0;0;12;3;3;16;103;18;15;3
201812;08020624;08;02;06;24;2;179;102;77;0;0;0;0;6;0;0;0;0;0;0;3;9;15;0;10;18;7;21;18;24;13;3;4;0;9;16;3;0;0;0;0;0;6;0;3;24;98;20;28;0
201812;08020625;08;02;06;25;2;522;291;231;0;3;7;4;0;3;0;3;7;9;0;6;20;39;39;43;39;48;54;30;57;25;9;7;15;9;9;18;12;4;0;3;0;14;22;6;59;310;41;51;19
201812;08020726;08;02;07;26;2;911;430;481;6;6;12;8;9;3;3;9;9;6;10;9;27;68;22;64;110;93;72;73;79;37;42;27;24;24;15;25;9;6;4;0;6;35;40;9;95;513;106;88;19
201812;08020727;08;02;07;27;2;1769;983;786;16;15;18;27;12;10;18;30;37;33;15;55;68;147;88;126;174;174;171;151;119;76;39;15;21;22;43;28;18;3;0;0;16;72;143;55;215;1003;130;114;21
201812;08020728;08;02;07;28;2;1999;1062;937;15;27;24;29;15;12;18;24;31;35;12;50;84;177;109;172;221;189;184;171;118;82;30;33;12;19;51;18;25;9;3;0;15;95;132;50;261;1164;145;100;37
201812;08030829;08;03;08;29;2;2558;1302;1256;9;17;22;36;18;16;13;28;34;18;9;54;65;121;92;152;289;252;245;255;218;165;96;49;58;39;69;69;30;14;6;0;9;93;118;54;186;1503;310;235;50
201812;08030830;08;03;08;30;2;1201;604;597;3;11;7;4;4;0;6;12;9;0;3;15;24;58;38;79;147;139;111;119;124;76;42;25;18;21;49;39;6;12;0;0;3;26;30;15;82;757;143;127;18
201812;08030831;08;03;08;31;2;3652;1830;1822;32;18;19;27;18;22;21;33;54;53;27;60;90;197;132;223;361;350;418;378;310;237;103;58;60;65;118;85;56;24;3;0;32;82;210;60;287;2172;398;328;83
201812;08040932;08;04;09;32;2;390;180;210;3;6;3;13;6;12;6;10;9;6;6;10;9;15;12;24;41;43;41;42;21;15;9;6;3;7;0;9;3;0;0;0;3;28;49;10;24;224;30;19;3
201812;08040933;08;04;09;33;2;578;297;281;6;6;6;3;0;7;0;6;0;3;3;3;27;36;25;21;54;61;61;63;48;42;12;12;9;18;12;12;16;3;3;0;6;15;19;3;63;333;66;51;22
201812;08040934;08;04;09;34;2;344;167;177;0;0;0;3;0;3;0;3;6;0;6;12;12;21;15;31;30;42;22;30;41;18;13;9;3;9;6;0;6;3;0;0;0;3;18;12;33;211;40;18;9
